id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3
1,0,"Ping Pong Ball",Throw,3,0.411397,0.554781,0.0957447,0.0840909,1.50866,-1.73169,1.56228,-2.95025,-0.649969,-1.57819,0.152187,-0.381015,0.669118,1.81958,-0.688656,1.8023
2,1,"Ping Pong Ball",,-1,0.411397,0.554781,0.0911854,0.140909,0,0,0,0,0,0,0,0,0,0,0,0
3,1,"Ping Pong Ball",,-1,0.411397,0.554781,0.0911854,0.186364,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"Ping Pong Ball",Throw,3,0.509934,0.555064,0.0957447,0.240909,0,0,0,0,0,0,0,0,0,0,0,0
5,0,"Ping Pong Ball",Throw,3,0.25115,0.503826,0.0866261,0.295455,0,0,0,0,0,0,0,0,0,0,0,0
6,0,"Ping Pong Ball",Throw,3,0.312993,0.559141,0.093465,0.35,0,0,0,0,0,0,0,0,0,0,0,0
7,0,"Ping Pong Ball",Throw,6,0.416109,0.603128,0.0866261,0.402273,0,0,0,0,0,0,0,0,0,0,0,0
8,0,"Ping Pong Ball",Throw,6,0.413825,0.605424,0.0889058,0.452273,0,0,0,0,0,0,0,0,0,0,0,0
9,0,"Ping Pong Ball",Throw,7,0.464235,0.605569,0.0866261,0.559091,0,0,0,0,0,0,0,0,0,0,0,0
10,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.0866261,0.611364,0,0,0,0,0,0,0,0,0,0,0,0
11,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.100304,0.6,2.13244,-2.03593,2.31489,-1.86492,-1.55213,-1.37835,0.244501,-0.180012,0.280327,-2.58148,1.77162,-0.034411
12,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.0889058,0.611364,2.13246,-2.03596,2.31488,-1.86497,-1.55212,-1.37837,0.244507,-0.180007,0.280344,-2.58154,1.77156,-0.0345385
13,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.0889058,0.611364,2.13243,-2.03596,2.31487,-1.86496,-1.5521,-1.37834,0.244502,-0.180016,0.280348,-2.58147,1.77165,-0.0345458
14,0,"Ping Pong Ball",Throw,8,0.548986,0.573599,0.0889058,0.611364,2.13244,-2.03592,2.31488,-1.86496,-1.55216,-1.37834,0.244503,-0.18002,0.280332,-2.58151,1.77166,-0.0344398
15,0,"Ping Pong Ball","Grabbing object",-1,0.280904,0.524574,0.0889058,0.611364,0,0,0,0,0,0,0,0,0,0,0,0
16,1,"Ping Pong Ball",,-1,0.553271,0.474691,0.0889058,0.668182,1.51515,-1.77186,1.6127,-2.96071,-1.56718,-1.57788,0.088306,-0.392605,0.661437,1.18807,-1.24436,1.15389
17,0,"Ping Pong Ball","Moving above object",-1,0.550984,0.476983,0.0911854,0.718182,2.13239,-2.03593,2.31488,-1.86491,-1.55219,-1.37828,0.244489,-0.180028,0.280331,-2.58142,1.7718,-0.034374
18,0,"Ping Pong Ball","Moving above object",-1,0.550984,0.476983,0.0889058,0.713636,0,0,0,0,0,0,0,0,0,0,0,0
19,0,"Ping Pong Ball",Throw,10,0.550984,0.476983,0.145897,0.718182,2.13243,-2.03592,2.31488,-1.86486,-1.55218,-1.37831,0.244496,-0.180017,0.280323,-2.58146,1.77169,-0.0342941
20,0,"Ping Pong Ball","Grabbing object",-1,0.505341,0.552749,0.107143,0.7,2.13244,-2.0359,2.31486,-1.86484,-1.55214,-1.3783,0.244504,-0.180018,0.280325,-2.58142,1.77167,-0.0342821
21,0,,Throw,8,0,0,0.505341,0.552749,0,0,0,0,0,0,0,0,0,0,0,0
22,0,"Ping Pong Ball","Grabbing object",-1,0.505341,0.552749,0.143617,0.665909,0,0,0,0,0,0,0,0,0,0,0,0
23,1,,,-1,0,0,0.505341,0.552749,0,0,0,0,0,0,0,0,0,0,0,0
24,1,"Ping Pong Ball",,-1,0.505341,0.552749,0.141337,0.615909,0,0,0,0,0,0,0,0,0,0,0,0
25,1,"Ping Pong Ball",,-1,0.505341,0.552749,0.155015,0.6,2.13243,-2.03596,2.31489,-1.86496,-1.55207,-1.37836,0.244502,-0.180011,0.280337,-2.58146,1.7716,-0.0345339
26,0,"Ping Pong Ball",Throw,15,0.505327,0.548146,0.136778,0.561364,2.13237,-2.03593,2.31486,-1.86481,-1.55209,-1.37825,0.24449,-0.180026,0.280333,-2.58128,1.7718,-0.0343294
27,0,"Ping Pong Ball",Throw,17,0.503035,0.54814,0.139058,0.506818,0,0,0,0,0,0,0,0,0,0,0,0
