id,success,testType,failedAt,deviation,objPosX,objPosY,goalPosX,goalPosY,j1,j2,j3,j4,j5,j6,x,y,z,q1,q2,q3,totalThrowTime,calibImgTime,findObjTime,pathCalcTime,grabTime,throwTime,apiLogTime
1,0,"Ping Pong Ball",Throw,3,0.411397,0.554781,0.0957447,0.0840909,1.50866,-1.73169,1.56228,-2.95025,-0.649969,-1.57819,0.152187,-0.381015,0.669118,1.81958,-0.688656,1.8023,15247.9,-1,11530.2,0.262049,6552.32,17483.8,34.2957
2,1,"Ping Pong Ball",,-1,0.411397,0.554781,0.0911854,0.140909,0,0,0,0,0,0,0,0,0,0,0,0,19243.9,-1,16262.6,0.33457,6461.61,18146.9,34.2887
3,1,"Ping Pong Ball",,-1,0.411397,0.554781,0.0911854,0.186364,0,0,0,0,0,0,0,0,0,0,0,0,29658.1,-1,9512.34,0.235596,7746.17,11403.9,12.6472
4,0,"Ping Pong Ball",Throw,3,0.509934,0.555064,0.0957447,0.240909,0,0,0,0,0,0,0,0,0,0,0,0,26253.8,-1,12608.6,0.24441,7688.97,17264.9,33.0764
5,0,"Ping Pong Ball",Throw,3,0.25115,0.503826,0.0866261,0.295455,0,0,0,0,0,0,0,0,0,0,0,0,18596.4,-1,51347.6,0.25637,7058.97,58177.7,9.34357
6,0,"Ping Pong Ball",Throw,3,0.312993,0.559141,0.093465,0.35,0,0,0,0,0,0,0,0,0,0,0,0,17753.6,-1,26932.5,0.244951,6309.81,32120.8,34.0869
7,0,"Ping Pong Ball",Throw,6,0.416109,0.603128,0.0866261,0.402273,0,0,0,0,0,0,0,0,0,0,0,0,18959.7,-1,9941.13,0.558008,6581.36,18204.7,32.4663
8,0,"Ping Pong Ball",Throw,6,0.413825,0.605424,0.0889058,0.452273,0,0,0,0,0,0,0,0,0,0,0,0,23650.6,-1,12679.4,0.336889,6021.01,19558.4,32.8871
9,0,"Ping Pong Ball",Throw,7,0.464235,0.605569,0.0866261,0.559091,0,0,0,0,0,0,0,0,0,0,0,0,22657.6,-1,64744.9,0.431635,6912.77,71370.1,9.60239
10,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.0866261,0.611364,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,10875.7,-1,1959.91,-1,37.7288
11,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.100304,0.6,2.13244,-2.03593,2.31489,-1.86492,-1.55213,-1.37835,0.244501,-0.180012,0.280327,-2.58148,1.77162,-0.034411,-1,-1,5162.56,-1,1707.04,-1,11.1809
12,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.0889058,0.611364,2.13246,-2.03596,2.31488,-1.86497,-1.55212,-1.37837,0.244507,-0.180007,0.280344,-2.58154,1.77156,-0.0345385,-1,-1,12326.5,-1,1767.16,-1,37.6714
13,0,"Ping Pong Ball","Moving above object",-1,0.544678,0.658814,0.0889058,0.611364,2.13243,-2.03596,2.31487,-1.86496,-1.5521,-1.37834,0.244502,-0.180016,0.280348,-2.58147,1.77165,-0.0345458,-1,-1,7088.61,-1,1798.78,-1,12.8538
14,0,"Ping Pong Ball",Throw,8,0.548986,0.573599,0.0889058,0.611364,2.13244,-2.03592,2.31488,-1.86496,-1.55216,-1.37834,0.244503,-0.18002,0.280332,-2.58151,1.77166,-0.0344398,22071.5,-1,11127.1,0.262442,9365.38,16418.8,10.8466
15,0,"Ping Pong Ball","Grabbing object",-1,0.280904,0.524574,0.0889058,0.611364,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,14105.2,-1,6881.68,-1,9.55823
16,1,"Ping Pong Ball",,-1,0.553271,0.474691,0.0889058,0.668182,1.51515,-1.77186,1.6127,-2.96071,-1.56718,-1.57788,0.088306,-0.392605,0.661437,1.18807,-1.24436,1.15389,20486.3,-1,15330.1,0.248059,7608,17232.4,33.524
17,0,"Ping Pong Ball","Moving above object",-1,0.550984,0.476983,0.0911854,0.718182,2.13239,-2.03593,2.31488,-1.86491,-1.55219,-1.37828,0.244489,-0.180028,0.280331,-2.58142,1.7718,-0.034374,-1,-1,12665.6,0.257008,0.084349,-1,12.479
18,0,"Ping Pong Ball","Moving above object",-1,0.550984,0.476983,0.0889058,0.713636,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,3416.76,-1,0.100913,-1,12.5006
19,0,"Ping Pong Ball",Throw,10,0.550984,0.476983,0.145897,0.718182,2.13243,-2.03592,2.31488,-1.86486,-1.55218,-1.37831,0.244496,-0.180017,0.280323,-2.58146,1.77169,-0.0342941,19293.4,-1,19250,0.41902,6484.76,23973.2,36.3925
20,0,"Ping Pong Ball","Grabbing object",-1,0.505341,0.552749,0.107143,0.7,2.13244,-2.0359,2.31486,-1.86484,-1.55214,-1.3783,0.244504,-0.180018,0.280325,-2.58142,1.77167,-0.0342821,-1,-1,31603.4,-1,6629.96,-1,33.1617
21,0,,Throw,8,0,0,0.505341,0.552749,0,0,0,0,0,0,0,0,0,0,0,0,42037.1,-1,7953.87,0.360803,-1,11764.8,34.8006
22,0,"Ping Pong Ball","Grabbing object",-1,0.505341,0.552749,0.143617,0.665909,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,12259.1,-1,6539.37,-1,32.837
23,1,,,-1,0,0,0.505341,0.552749,0,0,0,0,0,0,0,0,0,0,0,0,22508.3,-1,17283.7,0.237635,-1,19181,10.8532
